Org Name,Org Code,Org Type,Function,Contact Name,Address 1,Address 2,Town,State,Zip,Phone,Fax,Grade
Abby Kelley Foster Charter Public (District),04450000,Charter District,Charter School Leader,Kathleen Greenwood,10 New Bond Street,,Worcester,MA,01606,508-854-8400,508-854-8484,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Abington,00010000,Public School District,Superintendent,Peter Schafer,171 Adams St,,Abington,MA,02351,781-982-2150,781-982-2157,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Academy Of the Pacific Rim Charter Public (District),04120000,Charter District,Charter School Leader,Susan Thompson,1 Westinghouse Plaza,,Hyde Park,MA,02136,617-361-0050,617-361-0045,"05,06,07,08,09,10,11,12"
Acton,00020000,Public School District,Superintendent,Stephen Mills,16 Charter Road,,Acton,MA,01720,978-264-4700,978-264-3340,"PK,K,01,02,03,04,05,06"
Acton-Boxborough,06000000,Public School District,Superintendent,Stephen Mills,16 Charter Rd,,Acton,MA,01720,978-264-4700,978-264-3340,"07,08,09,10,11,12"
Acushnet,00030000,Public School District,Superintendent,Stephen Donovan,708 Middle Road,Suite 1,Acushnet,MA,02743,508-998-0260,508-998-0262,"PK,K,01,02,03,04,05,06,07,08"
Adams (non-op),00040000,Public School District,Superintendent,Alfred Skrocki,125 Savoy Road,,Cheshire,MA,01225,413-743-2939,413-743-4135,NA
Adams-Cheshire,06030000,Public School District,Superintendent,Kristen Gordon,191 Church St,,Cheshire,MA,01225,413-743-2939,413-743-4135,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Advanced Math and Science Academy Charter (District),04300000,Charter District,Charter School Leader,John Brucato,201 Forest Street,,Marlborough,MA,01752,508-597-2400,508-597-2499,"06,07,08,09,10,11,12"
Agawam,00050000,Public School District,Superintendent,William Sapelli,1305 Springfield St,Suite 1,Feeding Hills,MA,01030,413-821-0548,413-789-1835,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Alford (non-op),00060000,Public School District,Superintendent,David Hastings,PO Box 339,,Sheffield,MA,01257,413-229-8778,413-229-2913,NA
Alma del Mar Charter School (District),04090000,Charter District,Charter School Leader,Will Gardner,26 Madeira Avenue,,New Bedford,MA,02746,508-542-7153,877-719-8773,"K,01,02,03,04"
Amesbury,00070000,Public School District,Superintendent,Michele Robinson,5 Highland Street,,Amesbury,MA,01913,978-388-0507,978-388-8315,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Amesbury Academy Charter Public (District),04150000,Charter District,Charter School Leader,Norman Hamond,71 Friend Street,,Amesbury,MA,01913,978-388-8037,978-388-8073,"09,10,11,12"
Amherst,00080000,Public School District,Superintendent,Maria Geryk,170 Chestnut Street,,Amherst,MA,01002,413-362-1810,413-549-6108,"PK,K,01,02,03,04,05,06"
Amherst-Pelham,06050000,Public School District,Superintendent,Maria Geryk,170 Chestnut Street,,Amherst,MA,01002,413-362-1810,413-549-6108,"07,08,09,10,11,12"
Andover,00090000,Public School District,Superintendent,Marinel McGrath,36 Bartlet Street,,Andover,MA,01810,978-623-8501,978-623-8505,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Aquinnah (non-op),01040000,Public School District,Superintendent,James Weiss,4 Pine Street,,Vineyard Haven,MA,02568,508-693-2007,508-693-3190,NA
Arlington,00100000,Public School District,Superintendent,Kathleen Bodie,869 Massachusetts Avenue,,Arlington,MA,02476,781-316-3523,781-316-3509,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Ashburnham (non-op),00110000,Public School District,Superintendent,Ralph Hicks,11 Oakmont Drive,,Ashburnham,MA,01430,978-827-1434,978-827-5969,NA
Ashburnham-Westminster,06100000,Public School District,Superintendent,Ralph Hicks,11 Oakmont Drive,c/o Office of the Superintendent,Ashburnham,MA,01430,978-827-1434,978-827-5969,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Ashby (non-op),00120000,Public School District,Superintendent,Maureen Marshall,23 Main Street,,Townsend,MA,01469,978-597-8713,978-597-6534,NA
Ashfield (non-op),00130000,Public School District,Superintendent,Michael Buoniconti,24 Ashfield Road,,Shelburne Falls,MA,01370,413-625-0192,413-625-0196,NA
Ashland,00140000,Public School District,Superintendent,Brooke Clenchy,87 West Union Street,,Ashland,MA,01721,508-881-0150,508-881-0161,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Assabet Valley Regional Vocational Technical,08010000,Public School District,Superintendent,Patrick Collins,215 Fitchburg Street,,Marlborough,MA,01752,508-485-9430,508-460-3472,"09,10,11,12"
Athol (non-op),00150000,Public School District,Superintendent,Anthony Polito,P.O.Box 968,,Athol,MA,01331,978-249-2400,978-249-2402,NA
Athol-Royalston,06150000,Public School District,Superintendent,Anthony Polito,1062 Pleasant Street,,Athol,MA,01331,978-249-2400,978-249-2402,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Atlantis Charter (District),04910000,Charter District,Charter School Leader,Robert Beatty,37 Park Street Street,,Fall River,MA,02721,508-672-2181,508-672-2474,"K,01,02,03,04,05,06,07,08"
Attleboro,00160000,Public School District,Superintendent,Kenneth Sheehan,100 Rathbun Willard Drive,,Attleboro,MA,02703,508-222-0012,508-223-1577,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Auburn,00170000,Public School District,Superintendent,Maryellen Brunelle,5 West Street,,Auburn,MA,01501,508-832-7755,508-832-7757,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Avon,00180000,Public School District,Superintendent,Paul Zinni,1 Patrick Clark Drive,,Avon,MA,02322,508-588-0230,508-559-1081,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Ayer (non-op),00190000,Public School District,Superintendent,Carl Mock,141 Washington Street,,Ayer,MA,01432,978-772-8600,978-772-7444,NA
Ayer Shirley School District,06160000,Public School District,Superintendent,Carl Mock,141 Washington Street,,Ayer,MA,01432,978-772-8600,978-772-7444,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Barnstable,00200000,Public School District,Superintendent,Mary Czajkowski,P O Box 955,,Hyannis,MA,02601,508-862-4953,508-790-6454,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Barnstable Community Horace Mann Charter Public (District),04270000,Charter District,Charter School Leader,Marilee Cantelmo,165 Bearses Way,,Hyannis,MA,02601,508-790-6485,508-790-6432,"K,01,02,03"
Barre (non-op),00210000,Public School District,Superintendent,Maureen Marshall,872 South Street,,Barre,MA,01005,978-355-4668,978-355-6756,NA
Baystate Academy Charter Public School,35020000,Charter District,Charter School Leader,Timothy Sneed,334 Franklin Street,,Springfield,MA,01104,413-366-5103,413-366-5101,"06,07"
Becket (non-op),00220000,Public School District,Superintendent,William Cameron,PO Box 299,,Dalton,MA,01227,413-684-0320,413-684-1520,NA
Bedford,00230000,Public School District,Superintendent,Jonathan Sills,97 McMahon Road,,Bedford,MA,01730,781-275-7588,781-275-0885,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Belchertown,00240000,Public School District,Superintendent,Judith Houle,PO Box 841,,Belchertown,MA,01007,413-323-0456,413-323-0448,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Bellingham,00250000,Public School District,Superintendent,Edward Fleury,60 Harpin Street,,Bellingham,MA,02019,508-883-1706,508-883-0180,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Belmont,00260000,Public School District,Superintendent,Thomas Kingston,644 Pleasant Street,,Belmont,MA,02478,617-993-5401,617-993-5409,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Benjamin Banneker Charter Public (District),04200000,Charter District,Charter School Leader,Sherley Bretous-Carre,21 Notre Dame Avenue,,Cambridge,MA,02140,617-497-7771,617-497-4223,"K,01,02,03,04,05,06"
Benjamin Franklin Classical Charter Public (District),04470000,Charter District,Charter School Leader,Heather Zolnowski,201 Main Street,,Franklin,MA,02038,508-541-3434,508-541-5396,"K,01,02,03,04,05,06,07,08"
Berkley,00270000,Public School District,Superintendent,Thomas Lynch,21 North Main Street,,Berkley,MA,02779,508-822-5220,508-823-1772,"PK,K,01,02,03,04,05,06,07,08"
Berkshire Arts and Technology Charter Public (District),04140000,Charter District,Charter School Leader,Julia Bowen,1 Commercial Pl,PO Box 267,Adams,MA,01220,413-743-7311,413-743-7327,"06,07,08,09,10,11,12"
