id,Org Code,Town,School Year End Date (MM/DD):,Function,Org Type,Mass District Type:,District Title I Status:,Zip,Organization Description:,Educator Preparation Program Provider (EPPP):,State,District Operating Status:,NCES ID:,School Year Start Date (MM/DD):,Fax:,Phone:,Web Site:,Phone,Address 1,Mailing Address:,Address 2,Org Name,Grade,Fax,Email:,Contact Name,SES Provider:,RTTT Grant Program:,Inter-District School Choice:,METCO Program:,Chapter 74 Approved Programs:,Ed Prep: Mission/Vision Statement:,Ed Prep: Admission Requirements - Post-Baccalaureate:,Ed Prep: Description of Partnerships:,Ed Prep: Admission Requirements - Baccalaureate:
1,04450000,Worcester,06/20,Charter School Leader,Charter District,Independent Public including Charters,Title I District,01606,"The Abby Kelley Foster Charter Public School, located in the Greendale neighborhood of Worcester, is a public school that offers students a tuition-free, classical liberal arts public education. 

We currently serve students in Kindergarten through Grade 12. New students may enroll in Kindergarten.",$ Not Defined,MA,Operating,2500051,9/1,508-854-8484,508-854-8400,http://www.akfcs.org,508-854-8400,10 New Bond Street,"10 New Bond StreetWorcester, MA, 01606",,Abby Kelley Foster Charter Public (District),"K,01,02,03,04,05,06,07,08,09,10,11,12",508-854-8484,kgreenwood@akfcs.org,Kathleen Greenwood,$ Not Defined,Yes,,,,,,,
2,00010000,Abington,06/19,Superintendent,Public School District,Local School,Title I District,02351,,$ Not Defined,MA,Operating,2501650,9/1,781-982-2157,781-982-2150,http://www.abington.k12.ma.us,781-982-2150,171 Adams St,"171 Adams StAbington, MA, 02351 2003",,Abington,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",781-982-2157,peterschafer@abingtonps.org,Peter Schafer,$ Not Defined,No,Offers Choice,Does Not Accept METCO Students,,,,,
3,04120000,Hyde Park,06/21,Charter School Leader,Charter District,Independent Public including Charters,Title I District,02136,The Academy of the Pacific Rim is a charter public school serving students from fifth through twelfth grades in Boston.,$ Not Defined,MA,Operating,2500021,9/1,617-361-0045,617-361-0050,http://www.pacrim.org,617-361-0050,1 Westinghouse Plaza,"1 Westinghouse PlazaHyde Park, MA, 02136",,Academy Of the Pacific Rim Charter Public (District),"05,06,07,08,09,10,11,12",617-361-0045,sthompson@pacrim.org,Susan Thompson,$ Not Defined,Yes,,,,,,,
4,00020000,Acton,06/24,Superintendent,Public School District,Local School,Title I District,01720,Acton is a K - 6 School District,$ Not Defined,MA,Operating,2501680,9/1,978-264-3340,978-264-4700,http://ab.mec.edu,978-264-4700,16 Charter Road,"16 Charter RoadActon, MA, 01720",,Acton,"PK,K,01,02,03,04,05,06",978-264-3340,smills@abschools.org,Stephen Mills,$ Not Defined,No,Does Not Offer Choice,Does Not Accept METCO Students,,,,,
5,06000000,Acton,06/24,Superintendent,Public School District,Regional Academic,Title I District,01720,,$ Not Defined,MA,Operating,2501710,9/1,978-264-3340,978-264-4700,http://ab.mec.edu,978-264-4700,16 Charter Rd,"16 Charter RdActon, MA, 01720",,Acton-Boxborough,"07,08,09,10,11,12",978-264-3340,smills@abschools.org,Stephen Mills,$ Not Defined,No,Offers Choice,Does Not Accept METCO Students,,,,,
6,00030000,Acushnet,06/24,Superintendent,Public School District,Local School,Title I District,02743,Pre K - 8 District,$ Not Defined,MA,Operating,2501740,9/1,508-998-0262,508-998-0260,http://www.acushnetschools.us,508-998-0260,708 Middle Road,"708 Middle RoadSuite 1Acushnet, MA, 02743",Suite 1,Acushnet,"PK,K,01,02,03,04,05,06,07,08",508-998-0262,sdonovan@acushnet.k12.ma.us,Stephen Donovan,$ Not Defined,Yes,Does Not Offer Choice,Does Not Accept METCO Students,,,,,
7,00040000,Cheshire,6/15,Superintendent,Public School District,Local School,Non-Title I District,01225,,,MA,Non Operating,2501770,9/1,413-743-4135,413-743-2939,,413-743-2939,125 Savoy Road,"125 Savoy RoadCheshire, MA, 01225",,Adams (non-op),NA,413-743-4135,askrocki@acrsd.net,Alfred Skrocki,,No,Does Not Offer Choice,Does Not Accept METCO Students,,,,,
8,06030000,Cheshire,06/25,Superintendent,Public School District,Regional Academic,Title I District,01225,,$ Not Defined,MA,Operating,2501780,9/1,413-743-4135,413-743-2939,http://www.acrsd.net,413-743-2939,191 Church St,"191 Church StCheshire, MA, 01225",,Adams-Cheshire,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",413-743-4135,gordonk@acrsd.net,Kristen Gordon,$ Not Defined,Yes,Offers Choice,Does Not Accept METCO Students,,,,,
9,04300000,Marlborough,06/20,Charter School Leader,Charter District,Independent Public including Charters,Title I District,01752,"A Massachusetts public tuition-free school.AMSA's mission is to help children of all backgrounds and abilities achieve excellence in all subjects, with focus on math, science and technology.  AMSA's goal is to bring a high quality education to students which will allow them to achieve and excel. In September we will welcome  grades 6 -12.",$ Not Defined,MA,Operating,2500085,9/1,508-597-2499,508-597-2400,http://www.amsacs.org,508-597-2400,201 Forest Street,"201 Forest StreetMarlborough, MA, 01752",,Advanced Math and Science Academy Charter (District),"06,07,08,09,10,11,12",508-597-2499,j.brucato@amsacs.org,John Brucato,$ Not Defined,No,,,,,,,
10,00050000,Feeding Hills,06/26,Superintendent,Public School District,Local School,Title I District,01030,PreK - 12,$ Not Defined,MA,Operating,2501800,9/1,413-789-1835,413-821-0548,http://www.agawampublicschools.org,413-821-0548,1305 Springfield St,"1305 Springfield StSuite 1Feeding Hills, MA, 01030 2198",Suite 1,Agawam,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",413-789-1835,wsapelli@agawampublicschools.org,William Sapelli,$ Not Defined,Yes,Offers Choice,Does Not Accept METCO Students,Automotive Technology (470604)Building/Property Maintenance (460401)Business Technology (520407)Carpentry (460201)Cosmetology (120401)Culinary Arts (120500)Design & Visual Communications (500401)Exploratory (990100)Fashion Technology (500407)Graphic Communications (100301)Health Assisting (510000)Horticulture (010601)Information Support Services & Networking (110401),,,,
11,00060000,Sheffield,6/15,Superintendent,Public School District,Local School,Non-Title I District,01257,,,MA,Non Operating,2501810,9/1,413-229-2913,413-229-8778,http://sbrsd.org,413-229-8778,PO Box 339,"PO Box 339Sheffield, MA, 01257",,Alford (non-op),NA,413-229-2913,msingleton@tek2000.net,David Hastings,,No,Does Not Offer Choice,Does Not Accept METCO Students,,,,,
12,04090000,New Bedford,06/25,Charter School Leader,Charter District,Independent Public including Charters,Title I District,02746,,$ Not Defined,MA,Operating,2500525,09/01,877-719-8773,508-542-7153,http://almadelmar.org,508-542-7153,26 Madeira Avenue,"26 Madeira AvenueNew Bedford, MA, 02746",,Alma del Mar Charter School (District),"K,01,02,03,04",877-719-8773,willgardner@almadelmar.org,Will Gardner,$ Not Defined,No,,,,,,,
13,00070000,Amesbury,06/26,Superintendent,Public School District,Local School,Title I District,01913,,$ Not Defined,MA,Operating,2501860,9/1,978-388-8315,978-388-0507,http://www.amesburyma.gov,978-388-0507,5 Highland Street,"5 Highland StreetAmesbury, MA, 01913",,Amesbury,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",978-388-8315,robinsonm@amesburyma.gov,Michele Robinson,$ Not Defined,Yes,Offers Choice,Does Not Accept METCO Students,,,,,
